TEXT__WORD_HIGHLIGHTED_seconds,TEXT__WORD_HIGHLIGHTED_amount,TEXT__SENTENCE_CLICK_seconds,TEXT__SENTENCE_CLICK_amount,TEXT__SENTENCE_READ_seconds,TEXT__SENTENCE_READ_amount,REVISION__CLICKED_seconds,REVISION__CLICKED_amount,REVISION__NOT_CLICKED_seconds,REVISION__NOT_CLICKED_amount,VIDEO__WAS_SEEN_seconds,VIDEO__WAS_SEEN_amount,VIDEO__TRANSLATION_WAS_REVEALED_seconds,VIDEO__TRANSLATION_WAS_REVEALED_amount,BOOK_DRILL_CLICK_seconds,BOOK_DRILL_CLICK_amount,BOOK_DRILL_SCROLL_seconds,BOOK_DRILL_SCROLL_amount,FIRST_EXPOSURE_seconds,delta,ALL_longest_leading_recalls_seconds,ALL_leading_recalls_amount,ALL_leading_recalls_seconds,ALL_leading_failures_amount,ALL_leading_failures_seconds,ALL_amount,score,score_prev
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,11332,0,0,0,0,0,1,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,8787,0,0,0,0,0,1,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,10224,0,0,0,0,0,1,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,9671,0,0,0,0,0,1,1.0,1.0
62208000,0,10074,11,0,4,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,11083,38368,7465,3,7465,0,0,120,1.0,1.0
62208000,0,0,54,9,3,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,11223,38486,0,0,0,0,0,1653,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,2627,0,0,0,0,0,1,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,19045,0,0,0,0,0,1,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,11467,0,0,0,0,0,1,1.0,1.0
62208000,0,1899,44,0,8,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,11467,38554,1252,4,0,0,0,1378,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,5944,0,0,0,0,0,1,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,215,0,0,0,0,0,1,1.0,1.0
62208000,0,62208000,0,0,1,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,62208000,0,0,772,0,0,0,0,0,1,1.0,1.0
